"# ------------------------------------"
"Report: Top Domains"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2016-03-04 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"# ------------------------------------"
object_id,domain_name,count_plays,sum_time_viewed,avg_time_viewed,count_loads,load_play_ratio,avg_view_drop_off,avg_completion_rate
retinadevel.wpengine.com,retinadevel.wpengine.com,1,0,0,21,0.047619047619048,0,0
savemedia.website,savemedia.website,1,0,0,1,1,0,0
www.cinetux.to,www.cinetux.to,1,0,0,91,0.010989010989011,0,0
127.0.0.1,127.0.0.1,0,0,0,1,0,0,0
192.168.1.100,192.168.1.100,0,0,0,306,0,0,0
65.55.108.4,65.55.108.4,0,0,0,1,0,0,0
C:,C:,0,0,0,2,0,0,0
app,app,0,0,0,2,0,0,0
cine.presencia.co,cine.presencia.co,0,0,0,6,0,0,0
cinetux.nu,cinetux.nu,0,0,0,1,0,0,0
classroom.google.com,classroom.google.com,0,0,0,10,0,0,0
com.google.android.gm,com.google.android.gm,0,0,0,5,0,0,0
cristian.x10.mx,cristian.x10.mx,0,0,0,2,0,0,0
cutt.ly,cutt.ly,0,0,0,1,0,0,0
ec2-52-37-202-11.us-west-2.compute.amazonaws.com,ec2-52-37-202-11.us-west-2.compute.amazonaws.com,0,0,0,11,0,0,0
enlaceestrategico.org.co,enlaceestrategico.org.co,0,0,0,2,0,0,0
kaltura.my.salesforce.com,kaltura.my.salesforce.com,0,0,0,2,0,0,0
l.facebook.com,l.facebook.com,0,0,0,36,0,0,0
l.instagram.com,l.instagram.com,0,0,0,1,0,0,0
l.messenger.com,l.messenger.com,0,0,0,1,0,0,0
latina.presencia.co,latina.presencia.co,0,0,0,2,0,0,0
latina.test,latina.test,0,0,0,5,0,0,0
lm.facebook.com,lm.facebook.com,0,0,0,3,0,0,0
m.facebook.com,m.facebook.com,0,0,0,74,0,0,0
m.proxypy.org,m.proxypy.org,0,0,0,4,0,0,0
mail.google.com,mail.google.com,0,0,0,3,0,0,0
makingoff.org,makingoff.org,0,0,0,6,0,0,0
my-site.test,my-site.test,0,0,0,1,0,0,0
openloadhd3.blogspot.com,openloadhd3.blogspot.com,0,0,0,4,0,0,0
openloadhd3.blogspot.com.uy,openloadhd3.blogspot.com.uy,0,0,0,3,0,0,0
openloadhd3.blogspot.mx,openloadhd3.blogspot.mx,0,0,0,3,0,0,0
openloadhd3.blogspot.se,openloadhd3.blogspot.se,0,0,0,3,0,0,0
pakpaka.net,pakpaka.net,0,0,0,12,0,0,0
peliculasen40tena.blogspot.com,peliculasen40tena.blogspot.com,0,0,0,7,0,0,0
relax.app,relax.app,0,0,0,9,0,0,0
ret.lat,ret.lat,0,0,0,4,0,0,0
reti20.la,reti20.la,0,0,0,3,0,0,0
retina.app,retina.app,0,0,0,1,0,0,0
retina.presencia.co,retina.presencia.co,0,0,0,7,0,0,0
retina.test,retina.test,0,0,0,1,0,0,0
retinalatina.staging.wpengine.com,retinalatina.staging.wpengine.com,0,0,0,12,0,0,0
s1.proxypy.org,s1.proxypy.org,0,0,0,1,0,0,0
s3.proxypy.org,s3.proxypy.org,0,0,0,2,0,0,0
server5.kproxy.com,server5.kproxy.com,0,0,0,2,0,0,0
server7.kproxy.com,server7.kproxy.com,0,0,0,1,0,0,0
server9.kproxy.com,server9.kproxy.com,0,0,0,1,0,0,0
staticxx.facebook.com,staticxx.facebook.com,0,0,0,1,0,0,0
twitter.com,twitter.com,0,0,0,2,0,0,0
twoseven.xyz,twoseven.xyz,0,0,0,2,0,0,0
vieja.rl,vieja.rl,0,0,0,21,0,0,0
web.facebook.com,web.facebook.com,0,0,0,2,0,0,0
www-retinalatina-org.bdigital.sena.edu.co,www-retinalatina-org.bdigital.sena.edu.co,0,1.3333333333333,0,43,0,0,0
www.blogger.com,www.blogger.com,0,0,0,2,0,0,0
www.google.com,www.google.com,0,0,0,46,0,0,0
www.google.com.co,www.google.com.co,0,0,0,2,0,0,0
www.google.com.mx,www.google.com.mx,0,0,0,4,0,0,0
www.rockandpop.cl,www.rockandpop.cl,0,0,0,5,0,0,0
www.sogou.com,www.sogou.com,0,0,0,1,0,0,0

