"# ------------------------------------"
"Report: Metrics over time"
"Please note that the data below is filtered based on the filter applied in the report"
"Filtered dates: 2016-03-04 05:00:00 - 2020-08-01 04:59:59 (GMT)"
"# ------------------------------------"
date_id,count_plays,sum_time_viewed,unique_known_users,avg_view_drop_off,avg_completion_rate,count_loads
20190228,389,7744.2666666667,2,0.45244215938303,45.210796915167,769
20190227,452,9506.3833333333,2,0.4391592920354,42.232300884956,781
20190226,446,9747.6333333333,1,0.50504484304933,51.569506726457,816
20190225,393,8345.7833333333,1,0.4675572519084,46.801526717557,664
20190224,432,10602.083333333,1,0.49305555555556,51.631944444444,794
20190223,519,9835.3333333333,1,0.49084778420039,50.408477842004,907
20190222,334,7274.1833333333,1,0.51422155688623,54.535928143713,612
20190221,389,9437.8833333333,1,0.50192802056555,49.766066838046,762
20190220,436,10145.333333333,1,0.48795871559633,47.30504587156,773
20190219,401,8139.15,1,0.51309226932668,51.406483790524,712
20190218,375,7531.1666666667,1,0.49866666666667,51.08,695
20190217,509,12703.016666667,1,0.4729862475442,50.609037328094,952
20190216,368,9423.8166666667,1,0.48573369565217,50.407608695652,759
20190215,351,8012.4333333333,2,0.4508547008547,47.960113960114,774
20190214,444,9114.2,2,0.45495495495495,45.806306306306,814
20190213,428,9311.5,1,0.42523364485981,39.782710280374,816
20190212,423,7585.7666666667,1,0.47872340425532,49.910165484634,917
20190211,438,8835.6166666667,1,0.48002283105023,50.123287671233,855
20190210,637,12733.133333333,1,0.47409733124019,48.841444270016,1089
20190209,593,12672.5,1,0.54468802698145,58.504215851602,1062
20190208,430,8763.5833333333,1,0.42906976744186,43.932558139535,784
20190207,458,9164.8,1,0.43777292576419,44.877729257642,774
20190206,403,8197.6333333333,1,0.4894540942928,48.7841191067,768
20190205,358,7853.1833333333,1,0.49930167597765,51.167597765363,696
20190204,462,8508.1,1,0.51569264069264,54.034632034632,866
20190203,514,10760.25,1,0.48005836575875,48.708171206226,965
20190202,467,9981.8833333333,1,0.51552462526767,54.434689507495,890
20190201,409,9300.7333333333,2,0.49144254278729,50.256723716381,765
20190131,433,9303.1666666667,1,0.48267898383372,50.083140877598,781
20190130,401,7039.8166666667,1,0.46758104738155,49.832917705736,754
20190129,394,7866.35,1,0.46700507614213,49.11421319797,737
20190128,530,9933.8166666667,1,0.47028301886792,50.998113207547,985
20190127,658,14315.416666667,1,0.50493920972644,46.382978723404,1188
20190126,664,14735.2,1,0.50602409638554,0,1247
20190125,612,10986.566666667,1,0.46282679738562,0,1077
20190124,612,11277.883333333,1,0.48978758169935,0,1112
20190123,587,11269.85,1,0.46720613287905,0,1017
20190122,730,15113.333333333,1,0.51746575342466,0,1340
20190121,784,15573.266666667,1,0.48086734693878,0,1515
20190120,1360,28197.616666667,1,0.49742647058824,0,2527
20190119,955,21272.416666667,1,0.51937172774869,0,1815
20190118,864,14643.933333333,1,0.46643518518519,0,1605
20190117,1019,16249.083333333,1,0.46295387634936,0,1908
20190116,815,14813.116666667,1,0.45981595092025,0,1530
20190115,1056,16544.25,1,0.47088068181818,0,1824
20190114,1017,16497.283333333,1,0.44100294985251,0,1870
20190113,1101,22219.333333333,1,0.46616712079927,0,2000
20190112,869,18597.866666667,2,0.51438434982739,0,1618
20190111,668,13406.2,2,0.50449101796407,0,1266
20190110,770,15666.016666667,1,0.46038961038961,0,1551
